disp_id,client_id,account_id,type
D00000085,85,A00000072,Owner
D00000086,86,A00000072,User
D00000087,87,A00000073,Owner
D00000089,89,A00000075,Owner
D00000090,90,A00000076,Owner
D00000091,91,A00000077,Owner
D00000092,92,A00000078,Owner
D00000093,93,A00000079,Owner
D00000094,94,A00000080,Owner
D00000095,95,A00000080,User
D00000096,96,A00000081,Owner
D00000097,97,A00000082,Owner
D00000098,98,A00000083,Owner
D00000099,99,A00000083,User
D00000100,100,A00000084,Owner
D00000101,101,A00000085,Owner
D00000102,102,A00000086,Owner
D00000103,103,A00000086,User
D00000105,105,A00000088,Owner
D00000106,106,A00000089,Owner
D00000107,107,A00000090,Owner
D00000108,108,A00000091,Owner
D00000110,110,A00000093,Owner
D00000112,112,A00000095,Owner
D00000113,113,A00000095,User
D00000114,114,A00000096,Owner
D00000115,115,A00000096,User
D00000116,116,A00000097,Owner
D00000117,117,A00000097,User
D00000118,118,A00000098,Owner
D00000119,119,A00000098,User
D00000120,120,A00000099,Owner
D00000121,121,A00000100,Owner
D00000122,122,A00000101,Owner
D00000123,123,A00000102,Owner
D00000124,124,A00000103,Owner
D00000125,125,A00000104,Owner
D00000126,126,A00000104,User
D00000127,127,A00000105,Owner
D00000128,128,A00000106,Owner
D00000129,129,A00000107,Owner
D00000130,130,A00000108,Owner
D00000131,131,A00000109,Owner
D00000132,132,A00000110,Owner
D00000134,134,A00000112,Owner
D00000135,135,A00000112,User
D00000136,136,A00000113,Owner
D00000137,137,A00000114,Owner
D00000138,138,A00000115,Owner
D00000139,139,A00000116,Owner
D00000140,140,A00000116,User
D00000141,141,A00000117,Owner
D00000142,142,A00000118,Owner
D00000143,143,A00000119,Owner
D00000144,144,A00000120,Owner
D00000145,145,A00000121,Owner
D00000146,146,A00000122,Owner
D00000147,147,A00000123,Owner
D00000148,148,A00000123,User
D00000149,149,A00000124,Owner
D00000150,150,A00000125,Owner
D00000151,151,A00000126,Owner
D00000152,152,A00000127,Owner
D00000153,153,A00000128,Owner
D00000154,154,A00000129,Owner
D00000155,155,A00000129,User
D00000156,156,A00000130,Owner
D00000157,157,A00000131,Owner
D00000158,158,A00000132,Owner
D00000159,159,A00000132,User
D00000160,160,A00000133,Owner
D00000161,161,A00000134,Owner
D00000162,162,A00000135,Owner
D00000163,163,A00000136,Owner
D00000164,164,A00000137,Owner
D00000165,165,A00000138,Owner
D00000166,166,A00000138,User
D00000167,167,A00000139,Owner
D00000168,168,A00000140,Owner
D00000169,169,A00000141,Owner
D00000170,170,A00000141,User
D00000171,171,A00000142,Owner
D00000172,172,A00000142,User
D00000173,173,A00000143,Owner
D00000174,174,A00000144,Owner
D00000175,175,A00000145,Owner
D00000176,176,A00000146,Owner
D00000178,178,A00000148,Owner
D00000179,179,A00000149,Owner
D00000180,180,A00000150,Owner
D00000181,181,A00000151,Owner
D00000182,182,A00000151,User
D00000183,183,A00000152,Owner
D00000184,184,A00000152,User
D00000185,185,A00000153,Owner
D00000186,186,A00000154,Owner
D00000187,187,A00000155,Owner
D00000188,188,A00000156,Owner
D00000189,189,A00000157,Owner
D00000190,190,A00000158,Owner
D00000191,191,A00000158,User
D00000192,192,A00000159,Owner
D00000193,193,A00000160,Owner
D00000194,194,A00000161,Owner
D00000195,195,A00000162,Owner
D00000196,196,A00000162,User
D00000197,197,A00000163,Owner
D00000198,198,A00000164,Owner
D00000199,199,A00000165,Owner
D00000200,200,A00000165,User
D00000201,201,A00000166,Owner
D00000202,202,A00000167,Owner
D00000203,203,A00000168,Owner
D00000204,204,A00000168,User
D00000205,205,A00000169,Owner
D00000206,206,A00000170,Owner
D00000207,207,A00000171,Owner
D00000208,208,A00000172,Owner
D00000209,209,A00000172,User
D00000210,210,A00000173,Owner
D00000211,211,A00000173,User
D00000212,212,A00000174,Owner
D00000215,215,A00000176,Owner
D00000216,216,A00000177,Owner
D00000217,217,A00000178,Owner
D00000218,218,A00000179,Owner
D00000219,219,A00000180,Owner
D00000221,221,A00000181,Owner
D00000222,222,A00000182,Owner
D00000223,223,A00000183,Owner
D00000224,224,A00000184,Owner
D00000225,225,A00000185,Owner
D00000226,226,A00000186,Owner
D00000227,227,A00000187,Owner
D00000228,228,A00000188,Owner
D00000229,229,A00000189,Owner
D00000230,230,A00000190,Owner
D00000231,231,A00000191,Owner
D00000232,232,A00000192,Owner
D00000233,233,A00000193,Owner
D00000234,234,A00000193,User
D00000235,235,A00000194,Owner
D00000236,236,A00000195,Owner
D00000237,237,A00000195,User
D00000238,238,A00000196,Owner
D00000239,239,A00000197,Owner
D00000240,240,A00000198,Owner
D00000241,241,A00000199,Owner
D00000242,242,A00000200,Owner
D00000243,243,A00000201,Owner
D00000246,246,A00000204,Owner
D00000247,247,A00000205,Owner
D00000248,248,A00000206,Owner
D00000249,249,A00000206,User
D00000250,250,A00000207,Owner
D00000251,251,A00000208,Owner
D00000252,252,A00000209,Owner
D00000253,253,A00000210,Owner
D00000254,254,A00000211,Owner
D00000255,255,A00000212,Owner
D00000256,256,A00000213,Owner
D00000257,257,A00000214,Owner
D00000258,258,A00000214,User
D00000259,259,A00000215,Owner
D00000260,260,A00000215,User
D00000261,261,A00000216,Owner
D00000262,262,A00000217,Owner
D00000263,263,A00000218,Owner
D00000264,264,A00000219,Owner
D00000265,265,A00000220,Owner
D00000266,266,A00000221,Owner
D00000267,267,A00000222,Owner
D00000268,268,A00000223,Owner
D00000269,269,A00000224,Owner
D00000270,270,A00000225,Owner
D00000271,271,A00000225,User
D00000272,272,A00000226,Owner
D00000273,273,A00000227,Owner
D00000274,274,A00000228,Owner
D00000275,275,A00000229,Owner
D00000276,276,A00000230,Owner
D00000277,277,A00000230,User
D00000278,278,A00000231,Owner
D00000279,279,A00000231,User
D00000280,280,A00000232,Owner
D00000282,282,A00000234,Owner
D00000283,283,A00000234,User
D00000284,284,A00000235,Owner
D00000285,285,A00000236,Owner
D00000286,286,A00000236,User
D00000287,287,A00000237,Owner
D00000288,288,A00000238,Owner
D00000289,289,A00000239,Owner
D00000290,290,A00000240,Owner
D00000291,291,A00000240,User
D00000292,292,A00000241,Owner
D00000293,293,A00000242,Owner
D00000294,294,A00000243,Owner
D00000295,295,A00000244,Owner
D00000296,296,A00000245,Owner
D00000297,297,A00000246,Owner
D00000298,298,A00000246,User
D00000300,300,A00000248,Owner
D00000301,301,A00000249,Owner
D00000302,302,A00000250,Owner
D00000303,303,A00000251,Owner
D00000304,304,A00000252,Owner
D00000305,305,A00000253,Owner
D00000308,308,A00000255,Owner
D00000309,309,A00000256,Owner
D00000310,310,A00000257,Owner
D00000311,311,A00000258,Owner
D00000312,312,A00000259,Owner
D00000313,313,A00000260,Owner
D00000314,314,A00000260,User
D00000315,315,A00000261,Owner
D00000316,316,A00000262,Owner
D00000317,317,A00000263,Owner
D00000318,318,A00000264,Owner
D00000319,319,A00000265,Owner
D00000320,320,A00000265,User
D00000321,321,A00000266,Owner
D00000322,322,A00000267,Owner
D00000323,323,A00000267,User
D00000324,324,A00000268,Owner
D00000325,325,A00000269,Owner
D00000326,326,A00000270,Owner
D00000327,327,A00000270,User
D00000328,328,A00000271,Owner
D00000329,329,A00000272,Owner
D00000330,330,A00000273,Owner
D00000331,331,A00000274,Owner
D00000332,332,A00000275,Owner
D00000333,333,A00000276,Owner
D00000334,334,A00000277,Owner
D00000335,335,A00000278,Owner
D00000336,336,A00000279,Owner
D00000337,337,A00000279,User
D00000338,338,A00000280,Owner
D00000339,339,A00000281,Owner
D00000340,340,A00000281,User
D00000341,341,A00000282,Owner
D00000342,342,A00000282,User
D00000343,343,A00000283,Owner
D00000344,344,A00000284,Owner
D00000345,345,A00000285,Owner
D00000346,346,A00000285,User
D00000347,347,A00000286,Owner
D00000348,348,A00000286,User
D00000349,349,A00000287,Owner
D00000350,350,A00000288,Owner
D00000351,351,A00000289,Owner
D00000352,352,A00000290,Owner
D00000353,353,A00000291,Owner
D00000354,354,A00000292,Owner
D00000355,355,A00000292,User
D00000356,356,A00000293,Owner
D00000357,357,A00000293,User
D00000358,358,A00000294,Owner
D00000359,359,A00000295,Owner
D00000360,360,A00000296,Owner
D00000361,361,A00000297,Owner
D00000362,362,A00000298,Owner
D00000363,363,A00000298,User
D00000364,364,A00000299,Owner
D00000365,365,A00000300,Owner
D00000366,366,A00000300,User
D00000367,367,A00000301,Owner
D00000368,368,A00000301,User
D00000369,369,A00000302,Owner
D00000370,370,A00000303,Owner
D00000371,371,A00000304,Owner
D00000372,372,A00000305,Owner
D00000373,373,A00000306,Owner
D00000374,374,A00000307,Owner
D00000375,375,A00000308,Owner
D00000376,376,A00000309,Owner
D00000378,378,A00000311,Owner
D00000379,379,A00000311,User
D00000380,380,A00000312,Owner
D00000381,381,A00000313,Owner
D00000382,382,A00000313,User
D00000383,383,A00000314,Owner
D00000384,384,A00000314,User
D00000385,385,A00000315,Owner
D00000386,386,A00000316,Owner
D00000387,387,A00000317,Owner
D00000388,388,A00000318,Owner
D00000389,389,A00000319,Owner
D00000390,390,A00000320,Owner
D00000391,391,A00000321,Owner
D00000392,392,A00000322,Owner
D00000393,393,A00000322,User
D00000394,394,A00000323,Owner
D00000395,395,A00000323,User
D00000396,396,A00000324,Owner
D00000397,397,A00000325,Owner
D00000398,398,A00000326,Owner
D00000399,399,A00000327,Owner
D00000400,400,A00000328,Owner
D00000401,401,A00000328,User
D00000402,402,A00000329,Owner
D00000403,403,A00000330,Owner
D00000404,404,A00000330,User
D00000405,405,A00000331,Owner
D00000406,406,A00000332,Owner
D00000407,407,A00000333,Owner
D00000408,408,A00000334,Owner
D00000409,409,A00000335,Owner
D00000410,410,A00000336,Owner
D00000411,411,A00000337,Owner
D00000412,412,A00000337,User
D00000413,413,A00000338,Owner
D00000414,414,A00000339,Owner
D00000415,415,A00000339,User
D00000416,416,A00000340,Owner
D00000417,417,A00000340,User
D00000418,418,A00000341,Owner
D00000419,419,A00000342,Owner
D00000420,420,A00000343,Owner
D00000421,421,A00000344,Owner
D00000422,422,A00000345,Owner
D00000423,423,A00000346,Owner
D00000424,424,A00000347,Owner
D00000425,425,A00000348,Owner
D00000426,426,A00000349,Owner
D00000427,427,A00000349,User
D00000428,428,A00000350,Owner
D00000429,429,A00000351,Owner
D00000430,430,A00000352,Owner
D00000431,431,A00000353,Owner
D00000432,432,A00000354,Owner
D00000433,433,A00000355,Owner
D00000434,434,A00000356,Owner
D00000435,435,A00000357,Owner
D00000436,436,A00000358,Owner
D00000437,437,A00000359,Owner
D00000438,438,A00000360,Owner
D00000439,439,A00000361,Owner
D00000440,440,A00000362,Owner
D00000441,441,A00000363,Owner
D00000442,442,A00000364,Owner
D00000443,443,A00000364,User
D00000444,444,A00000365,Owner
D00000445,445,A00000366,Owner
D00000446,446,A00000366,User
D00000447,447,A00000367,Owner
D00000448,448,A00000368,Owner
D00000450,450,A00000370,Owner
D00000451,451,A00000371,Owner
D00000452,452,A00000372,Owner
D00000453,453,A00000373,Owner
D00000454,454,A00000374,Owner
D00000455,455,A00000375,Owner
D00000456,456,A00000376,Owner
D00000457,457,A00000377,Owner
D00000458,458,A00000378,Owner
D00000459,459,A00000379,Owner
D00000461,461,A00000381,Owner
D00000462,462,A00000382,Owner
D00000463,463,A00000383,Owner
D00000464,464,A00000384,Owner
D00000465,465,A00000385,Owner
D00000466,466,A00000386,Owner
D00000467,467,A00000386,User
D00000468,468,A00000387,Owner
D00000469,469,A00000388,Owner
D00000470,470,A00000389,Owner
D00000471,471,A00000390,Owner
D00000472,472,A00000391,Owner
D00000473,473,A00000392,Owner
D00000474,474,A00000393,Owner
D00000476,476,A00000395,Owner
D00000477,477,A00000395,User
D00000478,478,A00000396,Owner
D00000479,479,A00000397,Owner
D00000480,480,A00000397,User
D00000481,481,A00000398,Owner
D00000482,482,A00000398,User
D00000483,483,A00000399,Owner
D00000484,484,A00000400,Owner
D00000485,485,A00000401,Owner
D00000486,486,A00000402,Owner
D00000487,487,A00000403,Owner
D00000488,488,A00000403,User
D00000489,489,A00000404,Owner
D00000490,490,A00000405,Owner
D00000491,491,A00000406,Owner
D00000492,492,A00000407,Owner
D00000493,493,A00000408,Owner
D00000494,494,A00000409,Owner
D00000495,495,A00000410,Owner
D00000496,496,A00000411,Owner
D00000497,497,A00000412,Owner
D00000498,498,A00000412,User
D00000499,499,A00000413,Owner
D00000500,500,A00000414,Owner
D00000501,501,A00000415,Owner
D00000502,502,A00000416,Owner
D00000503,503,A00000417,Owner
D00000504,504,A00000418,Owner
D00000505,505,A00000419,Owner
D00000506,506,A00000420,Owner
D00000507,507,A00000421,Owner
D00000508,508,A00000422,Owner
D00000509,509,A00000423,Owner
D00000510,510,A00000424,Owner
D00000511,511,A00000425,Owner
D00000512,512,A00000426,Owner
D00000513,513,A00000427,Owner
D00000514,514,A00000427,User
D00000515,515,A00000428,Owner
D00000516,516,A00000428,User
D00000517,517,A00000429,Owner
D00000518,518,A00000430,Owner
D00000519,519,A00000431,Owner
D00000520,520,A00000432,Owner
D00000521,521,A00000433,Owner
D00000522,522,A00000434,Owner
D00000523,523,A00000435,Owner
D00000524,524,A00000436,Owner
D00000525,525,A00000436,User
D00000526,526,A00000437,Owner
D00000527,527,A00000437,User
D00000528,528,A00000438,Owner
D00000529,529,A00000439,Owner
D00000530,530,A00000440,Owner
D00000531,531,A00000441,Owner
D00000532,532,A00000441,User
D00000533,533,A00000442,Owner
D00000534,534,A00000443,Owner
D00000535,535,A00000444,Owner
D00000536,536,A00000445,Owner
D00000537,537,A00000446,Owner
D00000538,538,A00000447,Owner
D00000540,540,A00000449,Owner
D00000541,541,A00000449,User
D00000542,542,A00000450,Owner
D00000543,543,A00000451,Owner
D00000544,544,A00000452,Owner
D00000545,545,A00000453,Owner
D00000546,546,A00000454,Owner
D00000547,547,A00000455,Owner
D00000548,548,A00000456,Owner
D00000550,550,A00000458,Owner
D00000551,551,A00000459,Owner
D00000552,552,A00000460,Owner
D00000553,553,A00000460,User
D00000554,554,A00000461,Owner
D00000555,555,A00000461,User
D00000556,556,A00000462,Owner
D00000557,557,A00000463,Owner
D00000558,558,A00000464,Owner
D00000559,559,A00000465,Owner
D00000560,560,A00000466,Owner
D00000561,561,A00000467,Owner
D00000562,562,A00000468,Owner
D00000563,563,A00000469,Owner
D00000564,564,A00000469,User
D00000565,565,A00000470,Owner
D00000566,566,A00000471,Owner
D00000567,567,A00000471,User
D00000568,568,A00000472,Owner
D00000569,569,A00000473,Owner
D00000570,570,A00000474,Owner
D00000571,571,A00000475,Owner
D00000572,572,A00000475,User
D00000573,573,A00000476,Owner
D00000574,574,A00000477,Owner
D00000575,575,A00000478,Owner
D00000576,576,A00000478,User
D00000577,577,A00000479,Owner
D00000578,578,A00000480,Owner
D00000579,579,A00000481,Owner
D00000581,581,A00000483,Owner
D00000582,582,A00000484,Owner
D00000583,583,A00000485,Owner
D00000584,584,A00000486,Owner
D00000585,585,A00000487,Owner
D00000586,586,A00000487,User
D00000587,587,A00000488,Owner
D00000588,588,A00000489,Owner
D00000589,589,A00000490,Owner
D00000590,590,A00000491,Owner
D00000591,591,A00000492,Owner
D00000592,592,A00000493,Owner
D00000593,593,A00000494,Owner
D00000596,596,A00000496,Owner
D00000597,597,A00000497,Owner
D00000598,598,A00000498,Owner
D00000599,599,A00000498,User
D00000601,601,A00000500,Owner
D00000602,602,A00000500,User
D00000603,603,A00000501,Owner
D00000604,604,A00000502,Owner
D00000605,605,A00000503,Owner
D00000606,606,A00000504,Owner
D00000607,607,A00000505,Owner
D00000608,608,A00000506,Owner
D00000609,609,A00000507,Owner
D00000610,610,A00000508,Owner
D00000611,611,A00000509,Owner
D00000612,612,A00000509,User
D00000613,613,A00000510,Owner
D00000614,614,A00000511,Owner
D00000615,615,A00000512,Owner
D00000616,616,A00000513,Owner
D00000617,617,A00000514,Owner
D00000618,618,A00000515,Owner
D00000619,619,A00000516,Owner
D00000620,620,A00000516,User
D00000621,621,A00000517,Owner
D00000622,622,A00000518,Owner
D00000623,623,A00000519,Owner
D00000624,624,A00000519,User
D00000625,625,A00000520,Owner
D00000626,626,A00000521,Owner
D00000627,627,A00000522,Owner
D00000628,628,A00000522,User
D00000629,629,A00000523,Owner
D00000630,630,A00000524,Owner
D00000631,631,A00000525,Owner
D00000632,632,A00000526,Owner
D00000633,633,A00000526,User
D00000635,635,A00000528,Owner
D00000636,636,A00000528,User
D00000637,637,A00000529,Owner
D00000638,638,A00000530,Owner
D00000639,639,A00000531,Owner
D00000640,640,A00000532,Owner
D00000641,641,A00000533,Owner
D00000642,642,A00000533,User
D00000643,643,A00000534,Owner
D00000644,644,A00000535,Owner
D00000645,645,A00000536,Owner
D00000646,646,A00000537,Owner
D00000647,647,A00000537,User
D00000648,648,A00000538,Owner
D00000649,649,A00000539,Owner
D00000651,651,A00000540,Owner
D00000652,652,A00000541,Owner
D00000653,653,A00000542,Owner
D00000654,654,A00000543,Owner
D00000655,655,A00000544,Owner
D00000656,656,A00000545,Owner
D00000657,657,A00000546,Owner
D00000658,658,A00000546,User
D00000659,659,A00000547,Owner
D00000660,660,A00000548,Owner
D00000661,661,A00000548,User
D00000662,662,A00000549,Owner
D00000663,663,A00000550,Owner
D00000664,664,A00000551,Owner
D00000665,665,A00000552,Owner
D00000666,666,A00000553,Owner
D00000667,667,A00000554,Owner
D00000668,668,A00000555,Owner
D00000669,669,A00000556,Owner
D00000670,670,A00000557,Owner
D00000671,671,A00000558,Owner
D00000672,672,A00000559,Owner
D00000673,673,A00000560,Owner
D00000674,674,A00000561,Owner
D00000675,675,A00000562,Owner
D00000676,676,A00000563,Owner
D00000677,677,A00000564,Owner
D00000678,678,A00000565,Owner
D00000679,679,A00000566,Owner
D00000680,680,A00000566,User
D00000681,681,A00000567,Owner
D00000682,682,A00000568,Owner
D00000683,683,A00000569,Owner
D00000684,684,A00000570,Owner
D00000685,685,A00000571,Owner
D00000686,686,A00000572,Owner
D00000687,687,A00000572,User
D00000688,688,A00000573,Owner
D00000689,689,A00000574,Owner
D00000690,690,A00000575,Owner
D00000691,691,A00000575,User
D00000692,692,A00000576,Owner
D00000693,693,A00000576,User
D00000694,694,A00000577,Owner
D00000695,695,A00000578,Owner
D00000696,696,A00000578,User
D00000697,697,A00000579,Owner
D00000698,698,A00000580,Owner
D00000699,699,A00000581,Owner
D00000700,700,A00000582,Owner
D00000702,702,A00000584,Owner
D00000703,703,A00000585,Owner
D00000704,704,A00000586,Owner
D00000705,705,A00000587,Owner
D00000706,706,A00000588,Owner
D00000707,707,A00000589,Owner
D00000708,708,A00000590,Owner
D00000709,709,A00000591,Owner
D00000710,710,A00000592,Owner
D00000711,711,A00000593,Owner
D00000712,712,A00000594,Owner
D00000713,713,A00000595,Owner
D00000714,714,A00000596,Owner
D00000715,715,A00000597,Owner
D00000716,716,A00000598,Owner
D00000717,717,A00000599,Owner
D00000718,718,A00000599,User
D00000719,719,A00000600,Owner
D00000720,720,A00000601,Owner
D00000721,721,A00000602,Owner
D00000722,722,A00000603,Owner
D00000723,723,A00000604,Owner
D00000724,724,A00000605,Owner
D00000725,725,A00000606,Owner
D00000726,726,A00000607,Owner
D00000727,727,A00000608,Owner
D00000728,728,A00000608,User
D00000729,729,A00000609,Owner
D00000730,730,A00000609,User
D00000731,731,A00000610,Owner
D00000732,732,A00000610,User
D00000733,733,A00000611,Owner
D00000734,734,A00000611,User
D00000735,735,A00000612,Owner
D00000736,736,A00000612,User
D00000737,737,A00000613,Owner
D00000738,738,A00000614,Owner
D00000739,739,A00000615,Owner
D00000740,740,A00000616,Owner
D00000741,741,A00000617,Owner
D00000742,742,A00000618,Owner
D00000743,743,A00000619,Owner
D00000744,744,A00000620,Owner
D00000745,745,A00000621,Owner
D00000746,746,A00000621,User
D00000747,747,A00000622,Owner
D00000748,748,A00000623,Owner
D00000749,749,A00000623,User
D00000750,750,A00000624,Owner
D00000751,751,A00000625,Owner
D00000752,752,A00000626,Owner
D00000753,753,A00000626,User
D00000754,754,A00000627,Owner
D00000755,755,A00000628,Owner
D00000756,756,A00000629,Owner
D00000757,757,A00000630,Owner
D00000758,758,A00000631,Owner
D00000759,759,A00000632,Owner
D00000760,760,A00000633,Owner
D00000762,762,A00000635,Owner
D00000763,763,A00000636,Owner
D00000764,764,A00000637,Owner
D00000765,765,A00000638,Owner
D00000766,766,A00000639,Owner
D00000767,767,A00000639,User
D00000768,768,A00000640,Owner
D00000769,769,A00000641,Owner
D00000772,772,A00000643,Owner
D00000773,773,A00000644,Owner
D00000774,774,A00000645,Owner
D00000775,775,A00000646,Owner
D00000776,776,A00000647,Owner
D00000777,777,A00000647,User
D00000778,778,A00000648,Owner
D00000779,779,A00000649,Owner
D00000780,780,A00000650,Owner
D00000781,781,A00000651,Owner
D00000782,782,A00000652,Owner
D00000783,783,A00000653,Owner
D00000784,784,A00000653,User
D00000785,785,A00000654,Owner
D00000786,786,A00000655,Owner
D00000787,787,A00000656,Owner
D00000788,788,A00000657,Owner
D00000789,789,A00000658,Owner
D00000790,790,A00000659,Owner
D00000791,791,A00000660,Owner
D00000793,793,A00000662,Owner
D00000794,794,A00000662,User
D00000796,796,A00000664,Owner
D00000797,797,A00000665,Owner
D00000798,798,A00000666,Owner
D00000799,799,A00000666,User
D00000803,803,A00000669,Owner
D00000804,804,A00000669,User
D00000806,806,A00000671,Owner
D00000807,807,A00000672,Owner
D00000808,808,A00000673,Owner
D00000809,809,A00000674,Owner
D00000810,810,A00000675,Owner
D00000811,811,A00000675,User
D00000812,812,A00000676,Owner
D00000813,813,A00000677,Owner
D00000814,814,A00000678,Owner
D00000815,815,A00000679,Owner
D00000816,816,A00000680,Owner
D00000818,818,A00000682,Owner
D00000819,819,A00000683,Owner
D00000820,820,A00000683,User
D00000821,821,A00000684,Owner
D00000822,822,A00000685,Owner
D00000823,823,A00000686,Owner
D00000824,824,A00000687,Owner
D00000825,825,A00000688,Owner
D00000826,826,A00000689,Owner
D00000827,827,A00000690,Owner
D00000828,828,A00000690,User
D00000829,829,A00000691,Owner
D00000830,830,A00000692,Owner
D00000831,831,A00000693,Owner
D00000832,832,A00000694,Owner
D00000833,833,A00000695,Owner
D00000834,834,A00000696,Owner
D00000835,835,A00000697,Owner
D00000836,836,A00000697,User
D00000837,837,A00000698,Owner
D00000838,838,A00000698,User
D00000839,839,A00000699,Owner
D00000840,840,A00000700,Owner
D00000841,841,A00000701,Owner
D00000842,842,A00000702,Owner
D00000843,843,A00000703,Owner
D00000844,844,A00000704,Owner
D00000845,845,A00000704,User
D00000846,846,A00000705,Owner
D00000847,847,A00000706,Owner
D00000849,849,A00000708,Owner
D00000850,850,A00000709,Owner
D00000851,851,A00000710,Owner
D00000852,852,A00000710,User
D00000853,853,A00000711,Owner
D00000854,854,A00000712,Owner
D00000855,855,A00000713,Owner
D00000856,856,A00000714,Owner
D00000857,857,A00000715,Owner
D00000858,858,A00000716,Owner
D00000859,859,A00000717,Owner
D00000860,860,A00000717,User
D00000861,861,A00000718,Owner
D00000862,862,A00000719,Owner
D00000863,863,A00000720,Owner
D00000864,864,A00000721,Owner
D00000865,865,A00000721,User
D00000866,866,A00000722,Owner
D00000870,870,A00000725,Owner
D00000871,871,A00000726,Owner
D00000872,872,A00000727,Owner
D00000873,873,A00000728,Owner
D00000874,874,A00000729,Owner
D00000875,875,A00000729,User
D00000876,876,A00000730,Owner
D00000877,877,A00000731,Owner
D00000878,878,A00000731,User
D00000879,879,A00000732,Owner
D00000880,880,A00000733,Owner
D00000881,881,A00000734,Owner
D00000882,882,A00000735,Owner
D00000883,883,A00000736,Owner
D00000884,884,A00000736,User
D00000885,885,A00000737,Owner
D00000886,886,A00000738,Owner
D00000887,887,A00000739,Owner
D00000888,888,A00000740,Owner
D00000889,889,A00000741,Owner
D00000890,890,A00000742,Owner
D00000891,891,A00000743,Owner
D00000892,892,A00000744,Owner
D00000893,893,A00000745,Owner
D00000894,894,A00000746,Owner
D00000895,895,A00000747,Owner
D00000896,896,A00000748,Owner
D00000897,897,A00000748,User
D00000898,898,A00000749,Owner
D00000899,899,A00000749,User
D00000900,900,A00000750,Owner
D00000901,901,A00000751,Owner
D00000902,902,A00000752,Owner
D00000903,903,A00000753,Owner
D00000904,904,A00000754,Owner
D00000905,905,A00000755,Owner
D00000906,906,A00000756,Owner
D00000907,907,A00000757,Owner
D00000908,908,A00000758,Owner
D00000909,909,A00000759,Owner
D00000910,910,A00000760,Owner
D00000911,911,A00000761,Owner
D00000912,912,A00000762,Owner
D00000913,913,A00000763,Owner
D00000914,914,A00000764,Owner
D00000915,915,A00000765,Owner
D00000916,916,A00000766,Owner
D00000917,917,A00000767,Owner
D00000918,918,A00000768,Owner
D00000921,921,A00000770,Owner
D00000922,922,A00000771,Owner
D00000923,923,A00000771,User
D00000924,924,A00000772,Owner
D00000925,925,A00000773,Owner
D00000926,926,A00000774,Owner
D00000927,927,A00000775,Owner
D00000928,928,A00000776,Owner
D00000929,929,A00000777,Owner
D00000930,930,A00000778,Owner
D00000931,931,A00000779,Owner
D00000932,932,A00000780,Owner
D00000933,933,A00000781,Owner
D00000934,934,A00000781,User
D00000935,935,A00000782,Owner
D00000936,936,A00000782,User
D00000937,937,A00000783,Owner
D00000938,938,A00000784,Owner
D00000939,939,A00000785,Owner
